model_name	signal_name	sample_count	hit_rate	avg_return
ret_60_plus_sma_gap_60	weak_bullish	428	0.8621495327102804	0.09457902254865391
ret_60_plus_sma_gap_60	bullish	96	0.875	0.08752688316255287
ret_60_plus_sma_gap_60	strong_bullish	24	0.9583333333333334	0.09270700969490693
ret_60_plus_sma_gap_60	very_strong_bullish	10	0.8	0.08100375666203988
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	weak_bullish	438	0.860730593607306	0.09340919753383418
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	bullish	97	0.8969072164948454	0.09383765525830338
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	strong_bullish	22	0.8636363636363636	0.07813289063082476
ret_60_plus_sma_gap_60_plus_neg_weight_1_15	very_strong_bullish	10	0.8	0.08100375666203988
