model_name	rule_name	validation_f1	validation_bal_acc	test_f1	test_bal_acc	headline_score	rule_cutoff_test	test_trade_count	test_hit_rate	test_avg_return	test_max_drawdown_compound	forward_trade_count	forward_hit_rate	forward_avg_return	recent_rule_cutoff	recent_trade_count	recent_hit_rate	recent_avg_return	recent_max_drawdown_compound	date_start	date_end
live_ret_60_plus_sma_gap_60	threshold	0.5959	0.5539	0.8136	0.5947	0.6784	0.465	11	0.7273	0.078	-0.1427	36	0.5833	0.0359	0.465	17	0.7647	0.0557	-0.1545	2021-03-19	2026-03-19
live_ret_60_plus_sma_gap_60	top_20pct	0.5959	0.5539	0.8136	0.5947	0.6784	0.4883	7	0.7143	0.0838	-0.068	30	0.6	0.0323	0.4903	12	0.5833	0.0492	-0.1586	2021-03-19	2026-03-19
candidate_ret_60_plus_sma_gap_60_plus_rolling_vol_60	threshold	0.5801	0.5263	0.8154	0.6048	0.6762	0.483	11	0.7273	0.0807	-0.0675	36	0.5833	0.0322	0.483	17	0.7647	0.0562	-0.1545	2021-03-19	2026-03-19
candidate_ret_60_plus_sma_gap_60_plus_rolling_vol_60	top_20pct	0.5801	0.5263	0.8154	0.6048	0.6762	0.4966	9	0.7778	0.1054	-0.068	29	0.6552	0.0482	0.498	14	0.6429	0.0599	-0.1122	2021-03-19	2026-03-19
